Kume_No,Sanal_Merkez_X,Sanal_Merkez_Y,Secilen_ATM_X,Secilen_ATM_Y,Mesafe_Maliyeti
1,19.943561642119526,19.97219351211821,12.665150196025,11.421720908387666,11.228795791436694
2,68.08898015996168,73.5349973316056,68.52271620957221,71.83956058421614,1.750037921054932
3,84.90540966373793,29.359081678363452,81.74231494706405,31.33547545054241,3.7297855875851633
4,53.38101132066363,68.15502861298812,51.68828190845672,72.65260093990177,4.805568613470196
5,57.133812651679456,82.695229774611,59.960318776683806,80.46692474305401,3.599233277845336
