Kume_No,Sanal_Merkez_Lat,Sanal_Merkez_Lng,Secilen_ATM_Lat,Secilen_ATM_Lng,Mesafe_Maliyeti
1,38.35218563868446,27.1612664335887,38.34348442222194,27.163963393073125,0.009109597048621028
2,38.42382355067923,27.145405003415025,38.429952272313606,27.14570823686167,0.006136218656047762
3,38.4265059978004,27.208741319191372,38.42886939696568,27.21347519296531,0.005291050606639971
4,38.37777215165221,27.100114488737404,38.3779739103798,27.10629144266288,0.0061802480841472735
5,38.48176744657023,27.129572125529986,38.47022773509286,27.142426752675597,0.01727444297317828
