Kume_No,Sanal_Merkez_Lat,Sanal_Merkez_Lng,Secilen_ATM_Lat,Secilen_ATM_Lng,Mesafe_Maliyeti
1,38.34785783478791,27.146709626052765,38.35026165294819,27.143345291811872,0.004134862347423537
2,38.45134490735222,27.188558211146475,38.44402462482285,27.196236184237893,0.010608383811983368
3,38.47071297240385,27.12593226189166,38.46826337148145,27.12594843737379,0.0024496543277090165
4,38.393472956851326,27.206555180461606,38.40063699135852,27.206825393626733,0.007169128648227427
5,38.39495659555569,27.112228402983483,38.39167143857076,27.11246466058835,0.003293641460677218
